date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:58:30	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2031%20May%202023%2014:58:32%20GMT	https://subandgain.com/robots.txt		(from )
15:58:30	23241/23241	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20May%202023%2014:58:32%20GMT	https://subandgain.com/	C:/Web%20designing/clone%20training/subandgain.com/index.html	(from )
15:58:31	678/678	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Apr%202020%2012:13:36%20GMT	https://subandgain.com/images/favicon.png	C:/Web%20designing/clone%20training/subandgain.com/images/favicon.png	(from https://subandgain.com/)
15:58:32	79034/79034	---M--	200	added ('OK')	image/jpeg	date:Fri,%2010%20Apr%202020%2007:30:03%20GMT	https://subandgain.com/img/banner.jpg	C:/Web%20designing/clone%20training/subandgain.com/img/banner.jpg	(from https://subandgain.com/)
15:58:32	121433/121433	---M-Z	200	added ('OK')	text/css	date:Sat,%2004%20Mar%202017%2017:42:22%20GMT	https://subandgain.com/cssm/bootstrap.min.css	C:/Web%20designing/clone%20training/subandgain.com/cssm/bootstrap.min.css	(from https://subandgain.com/)
15:58:33	237033/237033	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20Oct%202017%2013:44:18%20GMT	https://subandgain.com/cssm/theme-plugins.css	C:/Web%20designing/clone%20training/subandgain.com/cssm/theme-plugins.css	(from https://subandgain.com/)
15:58:34	97486/97486	---M-Z	200	added ('OK')	text/css	date:Wed,%2022%20Jun%202022%2009:56:18%20GMT	https://subandgain.com/stylems.css	C:/Web%20designing/clone%20training/subandgain.com/stylems.css	(from https://subandgain.com/)
15:58:34	14808/14808	---M-Z	200	added ('OK')	text/css	date:Wed,%2018%20Oct%202017%2022:08:24%20GMT	https://subandgain.com/cssm/responsive.css	C:/Web%20designing/clone%20training/subandgain.com/cssm/responsive.css	(from https://subandgain.com/)
15:58:34	6612/6612	---M-Z	200	added ('OK')	text/css	date:Wed,%2018%20Oct%202017%2022:08:40%20GMT	https://subandgain.com/cssm/skin/skin3.css	C:/Web%20designing/clone%20training/subandgain.com/cssm/skin/skin3.css	(from https://subandgain.com/)
15:58:34	108445/108445	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2031%20May%202023%2014:58:36%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Web%20designing/clone%20training/connect.facebook.net/en_US/fbevents.js	(from https://subandgain.com/)
15:58:35	23241/23241	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20May%202023%2014:58:37%20GMT	https://subandgain.com/index.php	C:/Web%20designing/clone%20training/subandgain.com/index-2.html	(from https://subandgain.com/)
15:58:35	10369/10369	---M--	200	added ('OK')	image/jpeg	date:Wed,%2022%20Jun%202022%2011:44:22%20GMT	https://subandgain.com/images/subandgain-logo.jpg	C:/Web%20designing/clone%20training/subandgain.com/images/subandgain-logo.jpg	(from https://subandgain.com/)
